Id,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow
123,Saint George,US,37.1041,-113.5841,2021-04-18 15:29:20,clear sky,55.99,25,2.91,1,0,0
124,Glendive,US,47.1053,-104.7125,2021-04-18 15:29:20,clear sky,44.01,61,21.85,1,0,0
125,Río Tercero,AR,-32.173,-64.1141,2021-04-18 15:29:21,clear sky,73.99,74,1.99,9,0,0
126,Bouillante,GP,16.1304,-61.7692,2021-04-18 15:29:21,broken clouds,86.0,58,14.97,75,0,0
127,Nanortalik,GL,60.1432,-45.2371,2021-04-18 15:29:21,clear sky,26.35,48,16.31,5,0,0
128,Ancud,CL,-41.8697,-73.8203,2021-04-18 15:29:22,light rain,51.8,100,9.22,75,0,0
129,Tuktoyaktuk,CA,69.4541,-133.0374,2021-04-18 15:29:22,few clouds,14.0,92,4.61,20,0,0
130,Rawson,AR,-43.3002,-65.1023,2021-04-18 15:29:23,scattered clouds,71.26,40,15.99,45,0,0
131,Kastamonu Province,TR,41.5,33.6667,2021-04-18 15:29:23,overcast clouds,62.47,62,12.73,100,0,0
132,Sambava,MG,-14.2667,50.1667,2021-04-18 15:29:23,light rain,77.29,86,14.18,100,0,0
133,Labuhan,ID,-6.8844,112.2051,2021-04-18 15:29:24,overcast clouds,78.76,79,1.39,100,0,0
134,Māngrol,IN,21.1167,70.1167,2021-04-18 15:29:24,clear sky,82.26,70,16.67,1,0,0
135,Lavrentiya,RU,65.5833,-171.0,2021-04-18 15:29:25,overcast clouds,14.29,98,0.54,93,0,0
136,Quatre Cocos,MU,-20.2078,57.7625,2021-04-18 15:29:25,light rain,77.0,94,16.11,75,0,0
137,San Andrés,CO,12.5847,-81.7006,2021-04-18 15:29:26,broken clouds,86.0,74,9.22,75,0,0
138,Tuatapere,NZ,-46.1333,167.6833,2021-04-18 15:29:26,overcast clouds,55.0,86,7.0,98,0,0
139,Issenye,TZ,-2.0,34.3333,2021-04-18 15:27:11,overcast clouds,73.71,68,3.56,100,0,0
140,Mount Isa,AU,-20.7333,139.5,2021-04-18 15:29:27,clear sky,71.6,20,14.97,0,0,0
141,Hailar,CN,49.2,119.7,2021-04-18 15:29:27,clear sky,42.4,32,19.82,9,0,0
142,Severo-Kuril'sk,RU,50.6789,156.125,2021-04-18 15:29:28,overcast clouds,33.84,85,22.73,100,0,0
143,Tasiilaq,GL,65.6145,-37.6368,2021-04-18 15:29:28,few clouds,26.6,68,9.22,20,0,0
144,Mabaruma,GY,8.2,-59.7833,2021-04-18 15:29:28,broken clouds,86.0,70,13.8,75,0,0
145,Baillif,GP,16.0202,-61.7463,2021-04-18 15:29:29,broken clouds,86.0,58,14.97,75,0,0
146,Castro,BR,-24.7911,-50.0119,2021-04-18 15:29:29,overcast clouds,65.75,71,2.08,99,0,0
147,Pevek,RU,69.7008,170.3133,2021-04-18 15:29:30,broken clouds,20.44,75,23.02,74,0,0
148,Fukuechō,JP,32.6881,128.8419,2021-04-18 15:29:30,overcast clouds,56.44,54,15.59,92,0,0
149,Katangli,RU,51.7102,143.2326,2021-04-18 15:29:30,snow,30.94,98,12.44,100,0,0
150,Port Elizabeth,ZA,-33.918,25.5701,2021-04-18 15:29:31,clear sky,78.8,29,8.05,0,0,0
151,Les Cayes,HT,18.2,-73.75,2021-04-18 15:29:31,broken clouds,84.02,63,12.48,79,0,0
152,Gamba,GA,-2.65,10.0,2021-04-18 15:29:32,overcast clouds,82.18,72,4.72,100,0,0
153,Igarka,RU,67.4667,86.5833,2021-04-18 15:29:32,few clouds,-6.3,92,13.04,17,0,0
154,Arraial do Cabo,BR,-22.9661,-42.0278,2021-04-18 15:29:33,few clouds,82.4,69,8.05,20,0,0
155,Marzuq,YE,14.4,46.4667,2021-04-18 15:29:33,broken clouds,81.03,22,11.45,61,0,0
