Id,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow,Hotel
895,Kasane,BW,-17.8167,25.15,2021-04-18 15:34:39,clear sky,77.0,41,11.5,0,0,0,The Old House
901,Santo Ângelo,BR,-28.2992,-54.2631,2021-04-18 15:34:41,clear sky,77.0,57,11.5,0,0,0,Hotel Nova Esperança Aberto 24h
907,Quelimane,MZ,-17.8786,36.8883,2021-04-18 15:32:22,light rain,78.01,69,9.22,40,0,0,Hotel Flamingo
909,Beyneu,KZ,45.3167,55.2,2021-04-18 15:34:44,overcast clouds,72.16,24,10.11,100,0,0,NUR
911,Khanu Woralaksaburi,TH,16.0617,99.8606,2021-04-18 15:34:45,moderate rain,79.93,72,2.64,72,0,0,River Green Resort
920,Bima,ID,-8.4667,118.7167,2021-04-18 15:34:49,overcast clouds,74.97,92,3.94,100,0,0,Lambitu Hotel
934,Majene,ID,-3.5403,118.9707,2021-04-18 15:34:54,overcast clouds,77.72,85,2.62,100,0,0,Kost Putri RABBANI
944,Japura,ID,-0.3167,102.35,2021-04-18 15:34:59,overcast clouds,75.36,92,1.74,96,0,0,Rumah mbah Jamah
947,Viedma,AR,-40.8135,-62.9967,2021-04-18 15:35:00,overcast clouds,71.11,72,17.96,99,0,0,Hotel Cristal
964,Coahuayana Viejo,MX,18.7333,-103.6833,2021-04-18 15:35:07,clear sky,75.2,35,3.87,1,0,0,El rranchito michuacan de ocampos
972,Kawalu,ID,-7.3817,108.2082,2021-04-18 15:35:10,overcast clouds,71.82,97,1.07,96,0,0,KOSAN UNGU UNSIK
983,Poso,ID,-1.3959,120.7524,2021-04-18 15:35:15,overcast clouds,79.0,72,4.27,100,0,0,Hotel 77 Poso
984,Akdepe,TM,42.0551,59.3788,2021-04-18 15:35:15,clear sky,75.2,23,6.91,0,0,0,Мой дом
991,Antofagasta,CL,-23.65,-70.4,2021-04-18 15:35:19,few clouds,73.0,72,10.36,20,0,0,Holiday Inn Express Antofagasta
995,Willowmore,ZA,-33.2926,23.4895,2021-04-18 15:35:21,clear sky,76.96,17,5.7,0,0,0,Jumper's Place
1006,Menongue,AO,-14.6585,17.691,2021-04-18 15:35:26,few clouds,73.22,49,5.64,21,0,0,Ritz Lauca
1016,Lucapa,AO,-8.4192,20.7447,2021-04-18 15:35:30,light rain,75.15,77,3.78,58,0,0,Residência Ulisses Dos Santos
